pIllAppearingStrat3,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,Strategy 3
0.03,,5062.613242860942,4716.707865515886,4444.66912092023,,79.9787122743254,79.9829974572489,79.99112349031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0304,,5062.613242860942,4716.707865515886,4451.676366520231,,79.9787122743254,79.9829974572489,79.99104285031099,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.030799999999999998,,5062.613242860942,4716.707865515886,4458.6836121202305,,79.9787122743254,79.9829974572489,79.99096221031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0312,,5062.613242860942,4716.707865515886,4465.69085772023,,79.9787122743254,79.9829974572489,79.99088157031099,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.031599999999999996,,5062.613242860942,4716.707865515886,4472.69810332023,,79.9787122743254,79.9829974572489,79.990800930311,,0.9999658451248065,0.9999658450531136,0.9999658450808208,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.032,,5062.613242860942,4716.707865515886,4479.70534892023,,79.9787122743254,79.9829974572489,79.99072029031099,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0324,,5062.613242860942,4716.707865515886,4486.712594520231,,79.9787122743254,79.9829974572489,79.99063965031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.032799999999999996,,5062.613242860942,4716.707865515886,4493.71984012023,,79.9787122743254,79.9829974572489,79.99055901031099,,0.9999658451248065,0.9999658450531136,0.9999658450808208,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0332,,5062.613242860942,4716.707865515886,4500.72708572023,,79.9787122743254,79.9829974572489,79.99047837031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0336,,5062.613242860942,4716.707865515886,4507.73433132023,,79.9787122743254,79.9829974572489,79.99039773031099,,0.9999658451248065,0.9999658450531136,0.9999658450808208,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.034,,5062.613242860942,4716.707865515886,4514.741576920231,,79.9787122743254,79.9829974572489,79.99031709031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0344,,5062.613242860942,4716.707865515886,4521.7488225202305,,79.9787122743254,79.9829974572489,79.99023645031099,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0348,,5062.613242860942,4716.707865515886,4528.75606812023,,79.9787122743254,79.9829974572489,79.990155810311,,0.9999658451248065,0.9999658450531136,0.9999658450808208,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0352,,5062.613242860942,4716.707865515886,4535.76331372023,,79.9787122743254,79.9829974572489,79.99007517031099,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.0356,,5062.613242860942,4716.707865515886,4542.77055932023,,79.9787122743254,79.9829974572489,79.98999453031098,,0.9999658451248065,0.9999658450531136,0.9999658450808208,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
0.036,,5062.613242860942,4716.707865515886,4549.77780492023,,79.9787122743254,79.9829974572489,79.98991389031099,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
