IncidenceEOS,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,Strategy 3
0.2,,4732.063038060947,4386.15696560984,4481.998883652039,,79.98101591207038,79.98530109983811,79.98919353102805,,0.9999936824184048,0.9999936824052502,0.999993682410334,,Strongly Dominated (Baseline),Cost Saving,24622.63643604526
0.5800000000000001,,4873.19683336881,4527.291057704556,4623.132861047447,,79.98003233640398,79.98431752210338,79.98820995409267,,0.9999817968323741,0.9999817967942255,0.9999817968089688,,Strongly Dominated (Baseline),Cost Saving,24622.60191230188
0.96,,5014.330628676672,4668.425149799272,4764.266838442854,,79.97904876073758,79.98333394436865,79.9872263771573,,0.9999699112463433,0.9999699111832008,0.9999699112076035,,Strongly Dominated (Baseline),Cost Saving,24622.56738848279
1.34,,5155.464423984535,4809.559241893988,4905.400815838262,,79.9780651850712,79.98235036663394,79.98624280022192,,0.9999580256603126,0.9999580255721762,0.9999580256062383,,Strongly Dominated (Baseline),Cost Saving,24622.53286485766
1.72,,5296.5982192923975,4950.693333988704,5046.53479323367,,79.9770816094048,79.9813667888992,79.98525922328653,,0.9999461400742817,0.9999461399611516,0.999946140004873,,Strongly Dominated (Baseline),Cost Saving,24622.498341066927
2.1,,5437.73201460026,5091.8274260834205,5187.668770629077,,79.97609803373842,79.98038321116447,79.98427564635116,,0.999934254488251,0.999934254350127,0.9999342544035077,,Strongly Dominated (Baseline),Cost Saving,24622.463817289903
2.4800000000000004,,5578.865809908122,5232.961518178137,5328.802748024485,,79.97511445807203,79.97939963342974,79.98329206941578,,0.9999223689022203,0.9999223687391021,0.9999223688021425,,Strongly Dominated (Baseline),Cost Saving,24622.429293617188
2.8600000000000003,,5719.999605215984,5374.095610272853,5469.936725419892,,79.97413088240563,79.978416055695,79.9823084924804,,0.9999104833161895,0.9999104831280775,0.9999104832007772,,Strongly Dominated (Baseline),Cost Saving,24622.394769958886
3.24,,5861.133400523847,5515.229702367569,5611.0707028153,,79.97314730673925,79.97743247796029,79.98132491554503,,0.9998985977301589,0.9998985975170529,0.999898597599412,,Strongly Dominated (Baseline),Cost Saving,24622.36024631476
3.62,,6002.267195831709,5656.363794462286,5752.204680210708,,79.97216373107285,79.97644890022556,79.98034133860965,,0.9998867121441279,0.9998867119060282,0.9998867119980467,,Strongly Dominated (Baseline),Cost Saving,24622.325722684585
4.0,,6143.400991139571,5797.497886557002,5893.338657606116,,79.97118015540647,79.97546532249083,79.97935776167427,,0.9998748265580973,0.9998748262950036,0.9998748263966815,,Strongly Dominated (Baseline),Cost Saving,24622.291199068823
