cLevel1NursingCarePerDay,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,Strategy 3
200.0,,4486.613242860942,4141.307865515886,4012.5495149202306,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
204.0,,4494.293242860941,4148.979865515886,4023.2161815868976,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
208.0,,4501.97324286094,4156.651865515885,4033.8828482535637,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
212.0,,4509.653242860941,4164.323865515886,4044.5495149202306,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
216.0,,4517.333242860941,4171.995865515886,4055.2161815868976,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
220.0,,4525.013242860941,4179.667865515886,4065.8828482535637,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
224.0,,4532.693242860942,4187.339865515885,4076.5495149202306,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
228.0,,4540.373242860941,4195.011865515886,4087.2161815868976,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
232.0,,4548.053242860941,4202.683865515885,4097.882848253564,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
236.0,,4555.733242860941,4210.355865515886,4108.549514920231,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
240.0,,4563.413242860941,4218.027865515885,4119.216181586898,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
244.0,,4571.093242860941,4225.699865515886,4129.882848253564,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
248.0,,4578.7732428609415,4233.3718655158855,4140.549514920231,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
252.0,,4586.453242860941,4241.043865515886,4151.216181586898,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
256.0,,4594.133242860941,4248.7158655158855,4161.882848253564,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
260.0,,4601.813242860941,4256.387865515885,4172.549514920231,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
264.0,,4609.493242860941,4264.059865515886,4183.216181586898,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
268.0,,4617.173242860941,4271.731865515886,4193.882848253564,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
272.0,,4624.8532428609415,4279.403865515886,4204.549514920231,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
276.0,,4632.533242860942,4287.075865515885,4215.216181586898,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
280.0,,4640.213242860941,4294.747865515886,4225.882848253564,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
284.0,,4647.8932428609405,4302.419865515885,4236.549514920231,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
288.0,,4655.573242860941,4310.091865515886,4247.216181586898,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Strongly Dominated (Baseline),Cost Saving
