pIllAppearingGreen,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,Strategy 3
0.001,,5062.613242860942,4517.3032164955775,4812.549514920231,,79.9787122743254,79.9852922235258,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,184798.4205246252
0.00119,,5062.613242860942,4520.125735023258,4812.549514920231,,79.9787122743254,79.9852597417338,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,179384.74074752833
0.00138,,5062.613242860942,4522.948253550939,4812.549514920231,,79.9787122743254,79.9852272599418,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,174182.58846777334
0.00157,,5062.613242860942,4525.770772078618,4812.549514920231,,79.9787122743254,79.98519477814982,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,169179.80379872952
0.0017599999999999998,,5062.613242860942,4528.593290606298,4812.549514920231,,79.9787122743254,79.9851622963578,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,164365.14135264527
0.00195,,5062.613242860942,4531.415809133978,4812.549514920231,,79.9787122743254,79.98512981456581,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,159728.18587958303
0.00214,,5062.613242860942,4534.238327661658,4812.549514920231,,79.9787122743254,79.9850973327738,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,155259.2770314337
0.0023299999999999996,,5062.613242860942,4537.060846189338,4812.549514920231,,79.9787122743254,79.9850648509818,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,150949.44219924966
0.0025199999999999997,,5062.613242860942,4539.883364717018,4812.549514920231,,79.9787122743254,79.98503236918981,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,146790.3363768622
0.0027099999999999997,,5062.613242860942,4542.705883244698,4812.549514920231,,79.9787122743254,79.9849998873978,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,142774.18822743197
0.0029,,5062.613242860942,4545.528401772378,4812.549514920231,,79.9787122743254,79.9849674056058,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,138893.75162722598
0.00309,,5062.613242860942,4548.350920300058,4812.549514920231,,79.9787122743254,79.9849349238138,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,135142.26202914666
0.00328,,5062.613242860942,4551.173438827738,4812.549514920231,,79.9787122743254,79.9849024420218,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,131513.39711159776
0.00347,,5062.613242860942,4553.995957355418,4812.549514920231,,79.9787122743254,79.98486996022982,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,128001.2412192895
0.0036599999999999996,,5062.613242860942,4556.8184758830985,4812.549514920231,,79.9787122743254,79.9848374784378,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,124600.25318451785
0.0038499999999999997,,5062.613242860942,4559.640994410778,4812.549514920231,,79.9787122743254,79.9848049966458,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,121305.23716124204
0.00404,,5062.613242860942,4562.463512938458,4812.549514920231,,79.9787122743254,79.9847725148538,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,118111.31612692693
0.004229999999999999,,5062.613242860942,4565.286031466138,4812.549514920231,,79.9787122743254,79.98474003306181,79.98688989031098,,0.9999658451248065,0.9999658450531134,0.9999658450808206,,Strongly Dominated,Baseline,115013.90780718571
