cLevel2NICUAdmissionPerDay,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,Strategy 3
1901.0,,4502.595250195711,4277.933430575597,4483.906187573697,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,52916.19758469936
1939.02,,4510.060847699615,4283.782730721611,4488.287330387763,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,52539.0151621546
1977.04,,4517.526445203517,4289.632030867624,4492.668473201828,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,52161.83273960985
2015.06,,4524.992042707421,4295.481331013638,4497.049616015895,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,51784.65031706509
2053.08,,4532.457640211323,4301.330631159651,4501.43075882996,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,51407.467894520334
2091.1,,4539.9232377152275,4307.179931305664,4505.811901644026,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,51030.28547197582
2129.12,,4547.388835219131,4313.029231451677,4510.193044458091,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,50653.10304943083
2167.14,,4554.854432723034,4318.87853159769,4514.574187272157,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,50275.920626886305
2205.16,,4562.320030226937,4324.727831743704,4518.955330086223,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,49898.738204341316
2243.18,,4569.78562773084,4330.577131889717,4523.336472900288,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,49521.55578179656
2281.2,,4577.251225234744,4336.426432035731,4527.717615714354,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,49144.373359251804
2319.2200000000003,,4584.716822738647,4342.2757321817435,4532.098758528419,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,48767.19093670705
2357.24,,4592.1824202425505,4348.125032327757,4536.479901342485,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,48390.00851416229
2395.26,,4599.648017746454,4353.97433247377,4540.861044156551,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,48012.826091617535
2433.28,,4607.113615250357,4359.823632619783,4545.242186970617,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,47635.64366907302
2471.3,,4614.57921275426,4365.672932765796,4549.623329784682,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,47258.46124652826
2509.32,,4622.044810258163,4371.52223291181,4554.004472598747,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,46881.27882398327
2547.34,,4629.510407762066,4377.371533057823,4558.385615412813,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,46504.09640143852
2585.36,,4636.976005265969,4383.220833203836,4562.766758226879,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,46126.91397889376
2623.38,,4644.4416027698735,4389.070133349849,4567.147901040944,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,45749.731556349005
2661.4,,4651.907200273777,4394.919433495863,4571.52904385501,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,45372.54913380425
2699.42,,4659.37279777768,4400.768733641876,4575.910186669076,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,44995.366711259725
2737.44,,4666.838395281583,4406.6180337878895,4580.291329483141,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,44618.184288714736
2775.46,,4674.303992785486,4412.467333933902,4584.672472297207,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,44241.00186616998
2813.48,,4681.769590289389,4418.316634079915,4589.053615111273,,79.9787122743254,79.9829974572489,79.98688989031098,,0.9999658451248065,0.9999658450531136,0.9999658450808206,,Strongly Dominated,Baseline,43863.81944362546
